student,k,case,baseline,patched,delta
gpt5,1,E2,88.5,87.0,-1.5
gpt5,1,M2,96.5,110.0,13.5
gpt5,1,H2,125.5,138.5,13.0
gpt5,3,E2,88.5,94.5,6.0
gpt5,3,M2,96.5,119.0,22.5
gpt5,3,H2,125.5,114.5,-11.0
gpt5,5,E2,88.5,83.0,-5.5
gpt5,5,M2,96.5,119.5,23.0
gpt5,5,H2,125.5,115.5,-10.0
llama3_2b,1,E2,110.5,114.5,4.0
llama3_2b,1,M2,138.5,137.0,-1.5
llama3_2b,1,H2,162.5,151.5,-11.0
llama3_2b,3,E2,110.5,114.5,4.0
llama3_2b,3,M2,138.5,138.5,0.0
llama3_2b,3,H2,162.5,146.0,-16.5
llama3_2b,5,E2,110.5,121.0,10.5
llama3_2b,5,M2,138.5,138.5,0.0
llama3_2b,5,H2,162.5,154.0,-8.5
