store,student,k,case,baseline,patched,delta,pct_delta
clean,gpt5,1,E2,88.5,78.5,-10.0,-11.3
clean,gpt5,1,M2,96.5,113.0,16.5,17.1
clean,gpt5,1,H2,125.5,138.5,13.0,10.4
clean,gpt5,3,E2,88.5,95.5,7.0,7.9
clean,gpt5,3,M2,96.5,103.0,6.5,6.7
clean,gpt5,3,H2,125.5,130.5,5.0,4.0
clean,gpt5,5,E2,88.5,88.5,0.0,0.0
clean,gpt5,5,M2,96.5,100.5,4.0,4.1
clean,gpt5,5,H2,125.5,103.0,-22.5,-17.9
clean,llama3_2b,1,E2,110.5,121.0,10.5,9.5
clean,llama3_2b,1,M2,138.5,134.5,-4.0,-2.9
clean,llama3_2b,1,H2,162.5,151.5,-11.0,-6.8
clean,llama3_2b,3,E2,110.5,121.0,10.5,9.5
clean,llama3_2b,3,M2,138.5,144.5,6.0,4.3
clean,llama3_2b,3,H2,162.5,158.0,-4.5,-2.8
clean,llama3_2b,5,E2,110.5,112.5,2.0,1.8
clean,llama3_2b,5,M2,138.5,142.5,4.0,2.9
clean,llama3_2b,5,H2,162.5,151.0,-11.5,-7.1
clean_jfilter,gpt5,1,E2,88.5,78.5,-10.0,-11.3
clean_jfilter,gpt5,1,M2,96.5,113.0,16.5,17.1
clean_jfilter,gpt5,1,H2,125.5,138.5,13.0,10.4
clean_jfilter,gpt5,3,E2,88.5,91.0,2.5,2.8
clean_jfilter,gpt5,3,M2,96.5,103.0,6.5,6.7
clean_jfilter,gpt5,3,H2,125.5,130.5,5.0,4.0
clean_jfilter,gpt5,5,E2,88.5,91.0,2.5,2.8
clean_jfilter,gpt5,5,M2,96.5,100.5,4.0,4.1
clean_jfilter,gpt5,5,H2,125.5,103.0,-22.5,-17.9
clean_jfilter,llama3_2b,1,E2,110.5,121.0,10.5,9.5
clean_jfilter,llama3_2b,1,M2,138.5,134.5,-4.0,-2.9
clean_jfilter,llama3_2b,1,H2,162.5,151.5,-11.0,-6.8
clean_jfilter,llama3_2b,3,E2,110.5,122.5,12.0,10.9
clean_jfilter,llama3_2b,3,M2,138.5,144.5,6.0,4.3
clean_jfilter,llama3_2b,3,H2,162.5,158.0,-4.5,-2.8
clean_jfilter,llama3_2b,5,E2,110.5,122.5,12.0,10.9
clean_jfilter,llama3_2b,5,M2,138.5,142.5,4.0,2.9
clean_jfilter,llama3_2b,5,H2,162.5,151.0,-11.5,-7.1
