store,student,k,case,baseline,patched,delta,pct_delta
clean,gpt5,1,E2,88.5,82.5,-6.0,-6.8
clean,gpt5,1,M2,108.5,101.0,-7.5,-6.9
clean,gpt5,1,H2,117.5,138.5,21.0,17.9
clean,gpt5,3,E2,88.5,87.5,-1.0,-1.1
clean,gpt5,3,M2,108.5,95.0,-13.5,-12.4
clean,gpt5,3,H2,117.5,126.5,9.0,7.7
clean,gpt5,5,E2,88.5,88.5,0.0,0.0
clean,gpt5,5,M2,108.5,112.5,4.0,3.7
clean,gpt5,5,H2,117.5,111.0,-6.5,-5.5
clean,llama3_2b,1,E2,110.5,121.0,10.5,9.5
clean,llama3_2b,1,M2,138.5,134.5,-4.0,-2.9
clean,llama3_2b,1,H2,162.5,155.5,-7.0,-4.3
clean,llama3_2b,3,E2,110.5,121.0,10.5,9.5
clean,llama3_2b,3,M2,138.5,136.5,-2.0,-1.4
clean,llama3_2b,3,H2,162.5,158.0,-4.5,-2.8
clean,llama3_2b,5,E2,110.5,112.5,2.0,1.8
clean,llama3_2b,5,M2,138.5,138.5,0.0,0.0
clean,llama3_2b,5,H2,162.5,151.0,-11.5,-7.1
