retrieval,aligner,student,k,case,baseline,patched,delta
standard,hybrid,llama3_2b,3,E2,110.5,121.0,10.5
standard,combined,llama3_2b,3,E2,110.5,121.0,10.5
diverse,hybrid,llama3_2b,3,E2,110.5,117.0,6.5
diverse,combined,llama3_2b,3,E2,110.5,109.0,-1.5
standard,hybrid,llama3_2b,3,M2,138.5,144.5,6.0
standard,combined,llama3_2b,3,M2,138.5,136.5,-2.0
diverse,hybrid,llama3_2b,3,M2,138.5,142.0,3.5
diverse,combined,llama3_2b,3,M2,138.5,138.0,-0.5
standard,hybrid,llama3_2b,3,H2,162.5,158.0,-4.5
standard,combined,llama3_2b,3,H2,162.5,158.0,-4.5
diverse,hybrid,llama3_2b,3,H2,162.5,137.0,-25.5
diverse,combined,llama3_2b,3,H2,162.5,137.0,-25.5
